"position_id","soldier_id","soldier_position_id","issue_date","no.of.times"
41,47583,56,"01.12.1938","1"
43,47587,35,"01.12.1938","1"
69,47584,47,"01.12.1938","1"
70,47590,65,"01.12.1938","1"
267,47853,98,"01.12.1938","1"
330,47586,102,"01.12.1938","1"
575,47582,35,"01.12.1938","1"
659,47876,20,"01.12.1938","1"
948,47671,20,"01.12.1938","1"
1397,47648,1168,"01.12.1938","1"
1807,47666,660,"01.12.1938","1"
1895,47939,150,"01.12.1938","1"
1896,47940,166,"01.12.1938","1"
2028,47941,583,"01.12.1938","1"
2152,47827,749,"01.12.1938","1"
2187,47724,737,"01.12.1938","1"
2370,47581,101,"01.12.1938","1"
2397,47571,69,"01.12.1938","1"
2565,47650,222,"01.12.1938","1"
2629,47848,378,"01.12.1938","1"
2832,47858,909,"01.12.1938","1"
3112,47782,954,"01.12.1938","1"
4500,47654,306,"01.12.1938","1"
4564,47734,375,"01.12.1938","1"
4633,47840,997,"01.12.1938","1"
4756,47706,20,"01.12.1938","1"
5015,47673,742,"01.12.1938","1"
5052,47723,20,"01.12.1938","1"
5183,47541,69,"01.12.1938","1"
5207,47680,740,"01.12.1938","1"
5329,47670,20,"01.12.1938","1"
5553,47847,98,"01.12.1938","1"
6059,47594,31,"01.12.1938","1"
6130,47566,98,"01.12.1938","1"
6138,47540,131,"01.12.1938","1"
6430,47725,91,"01.12.1938","1"
7194,47795,1013,"01.12.1938","1"
7763,47649,501,"01.12.1938","1"
7818,47662,453,"01.12.1938","1"
7985,47668,75,"01.12.1938","1"
8121,47828,699,"01.12.1938","1"
8250,47729,774,"01.12.1938","1"
8441,47707,86,"01.12.1938","1"
8477,47758,822,"01.12.1938","1"
8493,47792,709,"01.12.1938","1"
8874,47651,245,"01.12.1938","1"
9275,47746,1018,"01.12.1938","1"
9476,47572,788,"01.12.1938","1"
9589,47661,750,"01.12.1938","1"
9598,47665,279,"01.12.1938","1"
10008,47548,40,"01.12.1938","1"
