"soldier_rank","soldier_id","rank_id","awarded_date","observations"
55,47583,7,"20.04.1937","0"
56,47583,6,"12.09.1937","0"
59,47587,7,"20.04.1937","0"
60,47587,6,"12.09.1937","0"
160,47584,8,"20.04.1937","0"
161,47584,7,"12.09.1937","0"
162,47584,6,"30.01.1938","0"
163,47590,8,"20.04.1937","0"
164,47590,7,"12.09.1937","0"
165,47590,6,"30.01.1938","0"
922,47853,9,"12.09.1937","0"
923,47853,8,"31.12.1937","0"
924,47853,7,"20.04.1938","0"
1169,47586,8,"20.04.1937","0"
1170,47586,7,"30.01.1938","0"
2120,47582,9,"20.04.1937","0"
2121,47582,8,"09.11.1937","0"
2427,47876,8,"01.07.1938","0"
3426,47671,12,"01.12.1933","0"
3427,47671,11,"09.05.1934","0"
3428,47671,10,"20.04.1935","0"
3429,47671,9,"09.11.1936","0"
4990,47648,12,"24.12.1932","0"
4991,47648,10,"20.04.1933","0"
4992,47648,9,"24.12.1933","0"
4993,47648,8,"15.09.1935","0"
4994,47648,7,"20.04.1936","0"
6210,47666,12,"09.11.1933","0"
6211,47666,11,"04.07.1934","0"
6212,47666,10,"20.04.1935","0"
6464,47939,12,"11.02.1931","0"
6465,47939,7,"02.07.1935","0"
6466,47940,10,"09.11.1932","0"
6467,47940,8,"20.04.1934","0"
6468,47940,7,"20.04.1936","0"
6825,47941,10,"01.02.1932","0"
6826,47941,9,"11.09.1938","0"
7181,47827,11,"01.07.1934","0"
7182,47827,10,"30.01.1937","0"
7284,47724,12,"09.11.1933","0"
7285,47724,11,"15.09.1935","0"
7286,47724,10,"09.11.1936","0"
7878,47581,7,"20.04.1937","0"
7879,47581,6,"12.09.1937","0"
7956,47571,10,"20.04.1937","0"
8432,47650,12,"10.03.1935","0"
8433,47650,11,"20.04.1936","0"
8434,47650,10,"09.11.1937","0"
8622,47848,11,"01.10.1936","0"
8623,47848,10,"12.09.1937","0"
9170,47858,10,"30.01.1938","0"
9853,47782,12,"15.09.1935","0"
9854,47782,11,"09.11.1936","0"
9855,47782,10,"11.09.1938","0"
12831,47654,12,"09.11.1934","0"
12832,47654,11,"30.01.1937","0"
12959,47734,12,"01.06.1935","0"
12960,47734,11,"30.01.1937","0"
13097,47840,12,"20.04.1936","0"
13098,47840,11,"30.01.1937","0"
13339,47706,12,"09.11.1935","0"
13340,47706,11,"30.01.1937","0"
13848,47673,12,"09.11.1934","0"
13849,47673,11,"12.09.1937","0"
13922,47723,12,"09.11.1935","0"
13923,47723,11,"12.09.1937","0"
14184,47541,12,"20.04.1937","0"
14185,47541,11,"12.09.1937","0"
14219,47680,12,"20.04.1934","0"
14220,47680,11,"09.11.1937","0"
14458,47670,12,"20.04.1935","0"
14459,47670,11,"30.01.1938","0"
14879,47847,12,"24.12.1935","0"
14880,47847,11,"20.04.1937","0"
15844,47594,12,"12.04.1937","0"
15845,47594,11,"11.09.1938","0"
15986,47566,12,"20.04.1937","0"
15987,47566,11,"11.09.1938","0"
16002,47540,12,"01.05.1937","0"
16003,47540,11,"11.09.1938","0"
16554,47725,12,"12.09.1937","0"
16555,47725,11,"09.11.1938","0"
17411,47795,12,"20.04.1935","0"
18014,47649,12,"09.11.1935","0"
18069,47662,12,"09.11.1935","0"
18236,47668,12,"30.01.1936","0"
18373,47828,12,"20.04.1936","0"
18502,47729,12,"13.09.1936","0"
18698,47707,12,"09.11.1936","0"
18734,47758,12,"09.11.1936","0"
18750,47792,12,"09.11.1936","0"
19130,47651,12,"20.04.1937","0"
19531,47746,12,"20.04.1937","0"
19735,47572,12,"20.04.1937","0"
19848,47661,12,"12.09.1937","0"
19857,47665,12,"12.09.1937","0"
20267,47548,12,"12.09.1937","0"
